,open,high,low,close,volume,value
2024-01-31 15:57:00,58999000.0,58999000.0,58968000.0,58996000.0,0.12695635,7489800.34143
2024-01-31 15:58:00,58996000.0,58996000.0,58977000.0,58996000.0,0.77240872,45563375.14871
2024-01-31 15:59:00,58994000.0,58996000.0,58979000.0,58996000.0,0.72577604,42815235.97393
2024-01-31 16:00:00,58996000.0,58997000.0,58991000.0,58994000.0,0.80724405,47622479.38646
2024-01-31 16:01:00,58991000.0,58995000.0,58991000.0,58995000.0,0.56727178,33466066.94886
2024-01-31 16:02:00,58994000.0,58996000.0,58983000.0,58990000.0,1.32251935,78018135.68402
2024-01-31 16:03:00,58990000.0,58991000.0,58984000.0,58989000.0,0.39156579,23097578.20849
2024-01-31 16:04:00,58985000.0,58991000.0,58985000.0,58991000.0,3.05120047,179990137.13812
2024-01-31 16:05:00,58991000.0,58995000.0,58984000.0,58987000.0,0.34206897,20178421.2066
2024-01-31 16:06:00,58990000.0,59016000.0,58970000.0,58991000.0,2.1559465,127179810.39525
2024-01-31 16:07:00,58993000.0,59016000.0,58993000.0,58996000.0,0.30723255,18130002.77892
2024-01-31 16:08:00,59015000.0,59015000.0,58998000.0,59015000.0,0.99659093,58804387.81606
2024-01-31 16:09:00,59001000.0,59016000.0,59000000.0,59002000.0,2.16849937,127946622.68137
2024-01-31 16:10:00,59002000.0,59015000.0,59002000.0,59010000.0,0.36604764,21600319.07616
2024-01-31 16:11:00,59010000.0,59015000.0,59002000.0,59003000.0,0.45023457,26568793.04999
2024-01-31 16:12:00,59003000.0,59015000.0,59002000.0,59013000.0,1.95582784,115408253.29309
2024-01-31 16:13:00,59014000.0,59014000.0,58998000.0,59010000.0,1.53442327,90534667.19917
2024-01-31 16:14:00,59010000.0,59015000.0,58982000.0,58982000.0,2.82894985,166901592.4709
2024-01-31 16:15:00,59010000.0,59015000.0,58977000.0,58981000.0,1.24381232,73368649.73443
2024-01-31 16:16:00,58981000.0,59016000.0,58981000.0,59014000.0,0.45967419,27123840.22722
2024-01-31 16:17:00,59000000.0,59014000.0,59000000.0,59012000.0,0.45406633,26795055.524
2024-01-31 16:18:00,59010000.0,59014000.0,59010000.0,59014000.0,0.99267288,58579977.63505
2024-01-31 16:19:00,59015000.0,59023000.0,59012000.0,59023000.0,1.06804644,63032499.46975
